where Place de la République in the 10e Arrondissement	query ( area ( keyval ( 'name' , '10e_Arrondissement' ) ) , nwr ( keyval ( 'name' , 'Place_de_la_République' ) ) , qtype ( latlong ) )
how many Place de la République in the 10e Arrondissement	query ( area ( keyval ( 'name' , '10e_Arrondissement' ) ) , nwr ( keyval ( 'name' , 'Place_de_la_République' ) ) , qtype ( count ) )
Does a street called Whitehouse Loan exist in Morningside ?	query ( area ( keyval ( 'name' , 'Morningside' ) ) , nwr ( keyval ( 'name' , 'Whitehouse_Loan' ) ) , qtype ( least ( topx ( 1 ) ) ) )
Is there Nature Reserves in Marseille	query ( area ( keyval ( 'name' , 'Marseille' ) ) , nwr ( keyval ( 'leisure' , 'nature_reserve' ) ) , qtype ( least ( topx ( 1 ) ) ) )
shop Grocery Shop in Marseille	query ( area ( keyval ( 'name' , 'Marseille' ) ) , nwr ( keyval ( 'shop' , 'grocery' ) ) , qtype ( findkey ( 'shop' ) ) )
How many Railway Stations in Marseille	query ( area ( keyval ( 'name' , 'Marseille' ) ) , nwr ( keyval ( 'building' , 'train_station' ) ) , qtype ( count ) )
Where Forests in Marseille	query ( area ( keyval ( 'name' , 'Marseille' ) ) , nwr ( keyval ( 'landuse' , 'forest' ) ) , qtype ( latlong ) )
Is there close by Dam from Traverse de Notre-Dame-de-Consolation in Marseille	query ( around ( center ( area ( keyval ( 'name' , 'Marseille' ) ) , nwr ( keyval ( 'name' , 'Traverse_de_Notre-Dame-de-Consolation' ) ) ) , search ( nwr ( keyval ( 'waterway' , 'dam' ) ) ) , maxdist ( DIST_INTOWN ) , topx ( 1 ) ) , qtype ( least ( topx ( 1 ) ) ) )
How many Sports Centers near Endoume Tellène in Marseille in walking distance	query ( around ( center ( area ( keyval ( 'name' , 'Marseille' ) ) , nwr ( keyval ( 'name' , 'Endoume_Tellène' ) ) ) , search ( nwr ( keyval ( 'leisure' , 'sports_centre' ) ) ) , maxdist ( WALKING_DIST ) ) , qtype ( count ) )
Is there close by Miniature Golf from Marseille in walking distance	query ( around ( center ( nwr ( keyval ( 'name' , 'Marseille' ) ) ) , search ( nwr ( keyval ( 'leisure' , 'miniature_golf' ) ) ) , maxdist ( WALKING_DIST ) , topx ( 1 ) ) , qtype ( least ( topx ( 1 ) ) ) )
Where closest Windmill from Marseille	query ( around ( center ( nwr ( keyval ( 'name' , 'Marseille' ) ) ) , search ( nwr ( keyval ( 'man_made' , 'windmill' ) ) ) , maxdist ( DIST_INTOWN ) , topx ( 1 ) ) , qtype ( latlong ) )
Where Water in Marseille	query ( area ( keyval ( 'name' , 'Marseille' ) ) , nwr ( keyval ( 'amenity' , 'drinking_water' ) ) , qtype ( latlong ) )
Where Night Clubs in Marseille	query ( area ( keyval ( 'name' , 'Marseille' ) ) , nwr ( keyval ( 'amenity' , 'nightclub' ) ) , qtype ( latlong ) )
